OrderID,OrderDate,CustomerName,CustomerEmail,Country,City,ProductName,Category,Quantity,UnitPrice,Total,Currency,PaymentMethod,DeliveryDate,DeliveryStatus,Notes,CombinedField
,2024-12-10,احمد محمد,ahmed[at]gmail[dot]com,EGY, ,Lap-top,Laptop,1,USD 100,10000,,,04-12-2025,Delivered,urgent,Order#None | Customer: احمد محمد | Product: Lap-top | Price: USD 100
4613.0,,Ahmed محمد,,مصر,alex,Laptop,Laptop,three,3000,10000,,Credit Card,2025-03-15,delivered,urgent,Order#4613 | Customer: Ahmed محمد | Product: Laptop | Price: 3000
,22/05/2025,احمد محمد,invalid_email,Egypt,,Laptop,Laptop,three,2500,,USD,cash,invalid,lost,,Order#None | Customer: احمد محمد | Product: Laptop | Price: 2500
,30/03/2024,احمد محمد,tami12@...,egypt,cairo,HEADPHONES,,1,1000,wrong,USD 300,pay on delevery,2035-01-01,Delivered,,Order#None | Customer: احمد محمد | Product: HEADPHONES | Price: 1000
6138.0,2025-03-16,AHMED MOHAMED,invalid_email,Egypt,alex,iPhone,,three,two thousand,wrong,جنيه,cash,02/03/2025,,العميل طلب الغاء,Order#6138 | Customer: AHMED MOHAMED | Product: iPhone | Price: two thousand
4740.0,07-17-2024,AHMED MOHAMED,GTAYLOR@JENNINGS.COM,UAE,Cairo,iPhone,mobile,Two,1500,wrong,EUR,,07-21-2024,Pending,...,Order#4740 | Customer: AHMED MOHAMED | Product: iPhone | Price: 1500
3600.0,invalid,Jon Vega,#######@hotmail.com,KSA,Alex,Lap-top,Mobile,3,,,USD,pay on delevery,,lost,العميل طلب الغاء,Order#3600 | Customer: Jon Vega | Product: Lap-top | Price: 
2086.0,,,ahmed[at]gmail[dot]com,egypt,Cairo,Lap-top,Laptop,,,,EUR,,09/07/2024,,تحقق,Order#2086 | Customer:  | Product: Lap-top | Price: None
,,,ahmed[at]gmail[dot]com,Egypt,Cairo,Laptop,mobile,2,1500,5000,,pay on delevery,21/12/2023,lost,تحقق,Order#None | Customer: None | Product: Laptop | Price: 1500
,,Samantha Mosley,woodchristina@pratt.com,,Alex,Laptop,Laptop,2,USD 100,,USD,,12/02/2025,Delivered,,Order#None | Customer: Samantha Mosley | Product: Laptop | Price: USD 100
,10-25-2024,AHMED MOHAMED,kylie10@gmail.com,Egypt,Alex,Laptop,accessory,3,two thousand,5000,جنيه,paypal,invalid,delivered,تحقق,Order#None | Customer: AHMED MOHAMED | Product: Laptop | Price: two thousand
2435.0,2035-01-01,AHMED MOHAMED,hunterwilliam@...,ksa,Alex,,accessory,,USD 100,,usd,,2035-01-01,,...,Order#2435 | Customer: AHMED MOHAMED | Product: None | Price: USD 100
,2024-01-24,,PETER28@GMAIL.COM,Egypt,Alex,Laptop,Mobile,,3000,,USD,,2035-01-01,delivered,XX,Order#None | Customer:  | Product: Laptop | Price: 3000
9173.0,02-26-2024,احمد محمد,ahmed[at]gmail[dot]com,uae,alex,,mobile,1,,wrong,usd,pay on delevery,,delivered,,Order#9173 | Customer: احمد محمد | Product: None | Price: 
6013.0,,احمد محمد,ahmed[at]gmail[dot]com,EG, ,IPHONE,Accessories,three,2500 جنيه,,جنيه,Credit Card,05-16-2024,lost,,Order#6013 | Customer: احمد محمد | Product: IPHONE | Price: 2500 جنيه
7929.0,01-13-2025,AHMED MOHAMED,tlopez@yahoo.com,uae, ,,,2,USD 100,5000,Ten Thousand Egyptian Pounds,,07/06/2024,,,Order#7929 | Customer: AHMED MOHAMED | Product: None | Price: USD 100
9030.0,2035-01-01,احمد محمد,invalid_email,uae,Dubai,IPHONE,Mobile,3,two thousand,,usd,pay on delevery,2035-01-01,pending,...,Order#9030 | Customer: احمد محمد | Product: IPHONE | Price: two thousand
2492.0,invalid,AHMED MOHAMED,EMILYMITCHELL@GMAIL.COM,UAE,alex,Lap-top,Lap-top,Two,2500,5000,,,12-12-2023,pending,العميل طلب الغاء,Order#2492 | Customer: AHMED MOHAMED | Product: Lap-top | Price: 2500
7842.0,invalid,Tanya Ortiz,,UAE,,I-phone,Laptop,Two,1000,wrong,USD 300,cash,2035-01-01,Delivered,,Order#7842 | Customer: Tanya Ortiz | Product: I-phone | Price: 1000
6331.0,2035-01-01,,hsims@davis.com,ksa,,iPhone,Mobile,Two,two thousand,10000,usd,,11-25-2023,delivered,,Order#6331 | Customer:  | Product: iPhone | Price: two thousand
7651.0,2023-12-31,أحمـــد    محمد,#######@hotmail.com,UAE,Alex,I-phone,Accessories,three,,,Ten Thousand Egyptian Pounds,,09-17-2024,Delivered,...,Order#7651 | Customer: أحمـــد    محمد | Product: I-phone | Price: None
,23/08/2024,AHMED MOHAMED,ahmed[at]gmail[dot]com,EGY,alex,iph0ne,Mobile,3,2500 جنيه,,USD 300,Credit Card,invalid,Pending,...,Order#None | Customer: AHMED MOHAMED | Product: iph0ne | Price: 2500 جنيه
,08/04/2024,,cruzamy@...,uae, ,Lap-top,Mobile,3,USD 100,wrong,جنيه,,,Pending,العميل طلب الغاء,Order#None | Customer: None | Product: Lap-top | Price: USD 100
,2024-01-07,احمد محمد,invalid_email,EGY, ,IPHONE,Accessories,3,,10000,EGP,,22/03/2025,Pending,العميل طلب الغاء,Order#None | Customer: احمد محمد | Product: IPHONE | Price: 
1084.0,,Ahmed محمد,,egypt,cairo,HEADPHONES,accessory,three,EGP,,USD,paypal,,pending,,Order#1084 | Customer: Ahmed محمد | Product: HEADPHONES | Price: EGP
2491.0,2035-01-01,Jason Blankenship,SMITHAMY@HOTMAIL.COM,KSA,alex,IPHONE,Laptop,Two,1000,10000,USD,pay on delevery,06/12/2024,,,Order#2491 | Customer: Jason Blankenship | Product: IPHONE | Price: 1000
,01/08/2024,AHMED MOHAMED,melissayang@yahoo.com, , ,HEADPHONES,accessory,Two,,5000,USD,Credit Card,,lost,,Order#None | Customer: AHMED MOHAMED | Product: HEADPHONES | Price: 
,22/01/2025,AHMED MOHAMED,omcdonald@...,EG,Dubai,I-phone,I-phone,2,EGP,wrong,USD,,,Pending,تحقق,Order#None | Customer: AHMED MOHAMED | Product: I-phone | Price: EGP
6705.0,,,#######@hotmail.com,,Dubai,Lap-top,Mobile,2,2500,10000,,,01/02/2025,Pending,XX,Order#6705 | Customer:  | Product: Lap-top | Price: 2500
6639.0,,Ahmed محمد,#######@hotmail.com,egypt,Alex,I-phone,Accessories,2,1000,10000,EGP,,,Pending,,Order#6639 | Customer: Ahmed محمد | Product: I-phone | Price: 1000
9675.0,26/01/2024,,tcarroll@mcdaniel-love.com,ksa,Cairo,Lap-top,Mobile,3,2500,5000,جنيه,Credit Card,2025-06-22,,تحقق,Order#9675 | Customer: None | Product: Lap-top | Price: 2500
,,أحمـــد    محمد,invalid_email,ksa,Dubai,iph0ne,,,two thousand,,EUR,Credit Card,12/03/2024,delivered,XX,Order#None | Customer: أحمـــد    محمد | Product: iph0ne | Price: two thousand
9060.0,29/12/2024,احمد محمد,qyoung@newman-hobbs.info,EG,Cairo,iPhone,Laptop,3,USD 100,wrong,EUR,,2035-01-01,Pending,...,Order#9060 | Customer: احمد محمد | Product: iPhone | Price: USD 100
,11/08/2023,احمد محمد,#######@hotmail.com,مصر,Cairo,iph0ne,iph0ne,1,1000,5000,USD,Credit Card,,Delivered,العميل طلب الغاء,Order#None | Customer: احمد محمد | Product: iph0ne | Price: 1000
,27/02/2025,أحمـــد    محمد,,, ,iPhone,Laptop,Two,2500,5000,EUR,,2035-01-01,,,Order#None | Customer: أحمـــد    محمد | Product: iPhone | Price: 2500
7719.0,2035-01-01,,morgan92@hotmail.com,,Cairo,Laptop,Accessories,,2500,,Ten Thousand Egyptian Pounds,paypal,,Delivered,العميل طلب الغاء,Order#7719 | Customer:  | Product: Laptop | Price: 2500
9458.0,2035-01-01,احمد محمد,,uae, ,IPHONE,Mobile,3,EGP,5000,EUR,Credit Card,2023-08-09,,XX,Order#9458 | Customer: احمد محمد | Product: IPHONE | Price: EGP
8994.0,10-15-2023,Ahmed محمد,TAYLORKENNETH@GMAIL.COM,,Alex,IPHONE,mobile,2,3000,,,cash,2023-12-04,pending,تحقق,Order#8994 | Customer: Ahmed محمد | Product: IPHONE | Price: 3000
8353.0,,احمد محمد,,Egypt,Dubai,IPHONE,Accessories,2,2500,,EUR,paypal,invalid,,,Order#8353 | Customer: احمد محمد | Product: IPHONE | Price: 2500
,09-24-2023,احمد محمد,,مصر,Cairo,iPhone,Accessories,2,1000,wrong,USD,,2035-01-01,Pending,urgent,Order#None | Customer: احمد محمد | Product: iPhone | Price: 1000
4621.0,2025-02-23,احمد محمد,invalid_email,egypt,cairo,HEADPHONES,Mobile,3,,5000,EUR,Credit Card,2035-01-01,Pending,تحقق,Order#4621 | Customer: احمد محمد | Product: HEADPHONES | Price: 
2799.0,12/12/2023,AHMED MOHAMED,#######@hotmail.com, ,Dubai,Laptop,,three,1500,,EGP,cash,2035-01-01,Delivered,...,Order#2799 | Customer: AHMED MOHAMED | Product: Laptop | Price: 1500
,10-29-2023,,#######@hotmail.com, ,alex,iph0ne,,three,USD 100,,,paypal,2024-02-05,lost,العميل طلب الغاء,Order#None | Customer: None | Product: iph0ne | Price: USD 100
,2024-03-09,,AARON10@GMAIL.COM,UAE,alex,HEADPHONES,Accessories,1,2500 جنيه,5000,,,invalid,Pending,XX,Order#None | Customer:  | Product: HEADPHONES | Price: 2500 جنيه
,invalid,Jon Brennan,, ,Cairo,iPhone,iPhone,Two,USD 100,,usd,Credit Card,01-13-2025,Delivered,,Order#None | Customer: Jon Brennan | Product: iPhone | Price: USD 100
6040.0,,AHMED MOHAMED,,UAE,Dubai,Lap-top,,3,2500,wrong,,Credit Card,,pending,,Order#6040 | Customer: AHMED MOHAMED | Product: Lap-top | Price: 2500
,27/02/2025,Ahmed محمد,,EGY,,Lap-top,Accessories,Two,USD 100,,USD,,03-25-2025,delivered,تحقق,Order#None | Customer: Ahmed محمد | Product: Lap-top | Price: USD 100
,2025-03-20,احمد محمد,ahmed[at]gmail[dot]com,uae,cairo,Headphones,mobile,,1500,10000,usd,,04-25-2024,Pending,تحقق,Order#None | Customer: احمد محمد | Product: Headphones | Price: 1500
3663.0,,,ahmed[at]gmail[dot]com,KSA,Dubai,Headphones,Mobile,2,3000,wrong,usd,Credit Card,,delivered,تحقق,Order#3663 | Customer: None | Product: Headphones | Price: 3000
6643.0,,AHMED MOHAMED,,UAE,Dubai,Lap-top,Mobile,,two thousand,5000,USD 300,cash,2024-02-09,,,Order#6643 | Customer: AHMED MOHAMED | Product: Lap-top | Price: two thousand
5559.0,,أحمـــد    محمد,invalid_email,UAE,Alex,iph0ne,iph0ne,2,3000,wrong,EGP,,,Delivered,,Order#5559 | Customer: أحمـــد    محمد | Product: iph0ne | Price: 3000
,2023-09-06,,lopezbrittany@..., ,Dubai,Laptop,Laptop,3,3000,,usd,paypal,,delivered,,Order#None | Customer: None | Product: Laptop | Price: 3000
2812.0,11-13-2024,AHMED MOHAMED,mdaniels@...,UAE, ,IPHONE,IPHONE,Two,1000,10000,,Credit Card,2025-06-20,Delivered,urgent,Order#2812 | Customer: AHMED MOHAMED | Product: IPHONE | Price: 1000
8228.0,2035-01-01,أحمـــد    محمد,#######@hotmail.com, , ,HEADPHONES,Accessories,2,two thousand,,,cash,2035-01-01,,تحقق,Order#8228 | Customer: أحمـــد    محمد | Product: HEADPHONES | Price: two thousand
1011.0,,,ahmed[at]gmail[dot]com,ksa,Dubai,IPHONE,,,2500 جنيه,10000,جنيه,,05/01/2025,,,Order#1011 | Customer: None | Product: IPHONE | Price: 2500 جنيه
,,,BROOKSSHANE@HOTMAIL.COM,مصر,Cairo,HEADPHONES,Mobile,3,2500 جنيه,,USD,cash,,delivered,XX,Order#None | Customer: None | Product: HEADPHONES | Price: 2500 جنيه
,,AHMED MOHAMED,davidwhite@hotmail.com,uae, ,HEADPHONES,Mobile,,1500,10000,EGP,,2024-07-04,Pending,XX,Order#None | Customer: AHMED MOHAMED | Product: HEADPHONES | Price: 1500
2025.0,,,,Egypt, ,IPHONE,accessory,2,3000,10000,USD,pay on delevery,,Delivered,تحقق,Order#2025 | Customer: None | Product: IPHONE | Price: 3000
,11/12/2024,,,KSA,Alex,IPHONE,Accessories,1,,,USD,pay on delevery,,delivered,,Order#None | Customer: None | Product: IPHONE | Price: None
,15/09/2023,,amandahorton@...,egypt,,iPhone,accessory,,3000,,EUR,,,pending,العميل طلب الغاء,Order#None | Customer:  | Product: iPhone | Price: 3000
5401.0,10-13-2023,أحمـــد    محمد,,,,Laptop,Accessories,Two,EGP,wrong,جنيه,,,delivered,...,Order#5401 | Customer: أحمـــد    محمد | Product: Laptop | Price: EGP
4119.0,2035-01-01,AHMED MOHAMED,invalid_email,EG,Cairo,Laptop,,2,2500,5000,USD,,,delivered,urgent,Order#4119 | Customer: AHMED MOHAMED | Product: Laptop | Price: 2500
,2035-01-01,أحمـــد    محمد,ohays@...,UAE,alex,I-phone,mobile,1,,,EUR,,10-02-2024,delivered,XX,Order#None | Customer: أحمـــد    محمد | Product: I-phone | Price: 
,,,JOSEPHOLIVER@HOTMAIL.COM,egypt,Cairo,,accessory,1,,wrong,,paypal,invalid,lost,,Order#None | Customer:  | Product: None | Price: None
,,Ahmed محمد,YATESVIRGINIA@WIGGINS-GONZALES.COM,ksa,alex,Lap-top,Mobile,2,2500,10000,USD 300,,invalid,lost,,Order#None | Customer: Ahmed محمد | Product: Lap-top | Price: 2500
,2024-08-22,AHMED MOHAMED,mcconnellevan@yahoo.com,مصر,Cairo,Lap-top,mobile,three,,10000,EGP,,2024-09-08,,,Order#None | Customer: AHMED MOHAMED | Product: Lap-top | Price: None
5580.0,03-21-2024,Ahmed محمد,WHITEKATELYN@DUNN.COM,egypt,alex,iph0ne,iph0ne,2,1000,wrong,,Credit Card,05/02/2025,delivered,,Order#5580 | Customer: Ahmed محمد | Product: iph0ne | Price: 1000
,,,,egypt,cairo,Lap-top,Mobile,,2500 جنيه,5000,,pay on delevery,2024-04-26,Pending,XX,Order#None | Customer:  | Product: Lap-top | Price: 2500 جنيه
1457.0,07/01/2024,احمد محمد,trodriguez@hotmail.com,ksa,alex,Laptop,Laptop,1,2500 جنيه,,USD 300,pay on delevery,11-10-2023,,XX,Order#1457 | Customer: احمد محمد | Product: Laptop | Price: 2500 جنيه
,2035-01-01,,,,cairo,iph0ne,accessory,,,5000,EUR,pay on delevery,18/09/2023,Delivered,...,Order#None | Customer:  | Product: iph0ne | Price: None
,,Ahmed محمد,invalid_email,UAE,cairo,Lap-top,Laptop,2,EGP,5000,EGP,,,Pending,XX,Order#None | Customer: Ahmed محمد | Product: Lap-top | Price: EGP
6697.0,2035-01-01,أحمـــد    محمد,,egypt,Alex,,accessory,Two,2500 جنيه,10000,,,2024-03-10,pending,تحقق,Order#6697 | Customer: أحمـــد    محمد | Product: None | Price: 2500 جنيه
,2024-12-16,Ahmed محمد,KARENWALKER@HOTMAIL.COM,EGY,Cairo,IPHONE,Mobile,,2500 جنيه,,جنيه,,10/06/2025,pending,تحقق,Order#None | Customer: Ahmed محمد | Product: IPHONE | Price: 2500 جنيه
6536.0,08/09/2023,Stacy Rocha,cherylgarner@...,,,iph0ne,Mobile,,,10000,EUR,pay on delevery,invalid,lost,XX,Order#6536 | Customer: Stacy Rocha | Product: iph0ne | Price: None
7737.0,,AHMED MOHAMED,jennifer89@..., , ,Headphones,mobile,2,3000,wrong,USD 300,paypal,07/12/2023,lost,urgent,Order#7737 | Customer: AHMED MOHAMED | Product: Headphones | Price: 3000
1536.0,,,invalid_email,Egypt,cairo,Laptop,accessory,2,,wrong,,,2035-01-01,,urgent,Order#1536 | Customer:  | Product: Laptop | Price: None
5050.0,,AHMED MOHAMED,invalid_email,uae,Cairo,Headphones,Headphones,three,USD 100,wrong,USD,cash,invalid,Delivered,,Order#5050 | Customer: AHMED MOHAMED | Product: Headphones | Price: USD 100
9593.0,,احمد محمد,,KSA,Cairo,Headphones,mobile,1,2500,,EGP,paypal,2024-02-04,Delivered,urgent,Order#9593 | Customer: احمد محمد | Product: Headphones | Price: 2500
,2035-01-01,,,UAE,alex,,accessory,3,USD 100,10000,جنيه,paypal,,,,Order#None | Customer: None | Product: None | Price: USD 100
3164.0,invalid,,bullockelizabeth@...,EGY,cairo,Laptop,Mobile,three,1000,10000,EUR,cash,16/11/2023,delivered,,Order#3164 | Customer:  | Product: Laptop | Price: 1000
1383.0,,أحمـــد    محمد,, ,Dubai,HEADPHONES,HEADPHONES,1,1500,,EGP,Credit Card,,delivered,تحقق,Order#1383 | Customer: أحمـــد    محمد | Product: HEADPHONES | Price: 1500
,invalid,احمد محمد,adriana88@...,EG, ,Lap-top,accessory,,2500,,EUR,paypal,2035-01-01,,,Order#None | Customer: احمد محمد | Product: Lap-top | Price: 2500
,2035-01-01,Ahmed محمد,bgomez@...,UAE,cairo,iPhone,Mobile,3,1000,5000,EUR,,,Pending,,Order#None | Customer: Ahmed محمد | Product: iPhone | Price: 1000
,invalid,AHMED MOHAMED,uhorn@...,مصر,Alex,,,2,2500 جنيه,wrong,EGP,paypal,invalid,Pending,,Order#None | Customer: AHMED MOHAMED | Product: None | Price: 2500 جنيه
,2023-08-25,AHMED MOHAMED,,UAE,Dubai,Laptop,mobile,1,,5000,USD 300,cash,2025-05-07,lost,,Order#None | Customer: AHMED MOHAMED | Product: Laptop | Price: None
,07-24-2023,,invalid_email,KSA,Cairo,iph0ne,Accessories,2,2500 جنيه,,USD,Credit Card,invalid,delivered,,Order#None | Customer: None | Product: iph0ne | Price: 2500 جنيه
,25/02/2025,أحمـــد    محمد,jamessmith@hotmail.com,uae,Alex,I-phone,Laptop,2,,10000,جنيه,pay on delevery,06/01/2024,lost,,Order#None | Customer: أحمـــد    محمد | Product: I-phone | Price: None
1404.0,2035-01-01,,christine80@yahoo.com,ksa,,I-phone,Laptop,Two,3000,wrong,جنيه,Credit Card,2035-01-01,Pending,العميل طلب الغاء,Order#1404 | Customer:  | Product: I-phone | Price: 3000
7969.0,,Ahmed محمد,ahmed[at]gmail[dot]com,EG,Cairo,I-phone,mobile,1,1500,10000,USD,,invalid,,تحقق,Order#7969 | Customer: Ahmed محمد | Product: I-phone | Price: 1500
,,احمد محمد,,Egypt,Alex,iph0ne,mobile,three,two thousand,5000,USD,pay on delevery,25/02/2025,lost,XX,Order#None | Customer: احمد محمد | Product: iph0ne | Price: two thousand
1183.0,13/05/2024,Natasha Keller,,uae,alex,I-phone,accessory,three,1500,10000,EGP,paypal,06-28-2024,Delivered,,Order#1183 | Customer: Natasha Keller | Product: I-phone | Price: 1500
9035.0,10-16-2023,Ahmed محمد,invalid_email,uae,Dubai,HEADPHONES,Accessories,three,1500,,usd,,2024-07-04,delivered,,Order#9035 | Customer: Ahmed محمد | Product: HEADPHONES | Price: 1500
7809.0,09-14-2024,,ahmed[at]gmail[dot]com,مصر,alex,iPhone,Laptop,3,2500 جنيه,,USD 300,pay on delevery,2035-01-01,Delivered,,Order#7809 | Customer:  | Product: iPhone | Price: 2500 جنيه
,invalid,Ahmed محمد,ahmed[at]gmail[dot]com,KSA,alex,,Laptop,2,,,,paypal,03/02/2024,lost,,Order#None | Customer: Ahmed محمد | Product: None | Price: None
,09-16-2023,Ashley Deleon,ahmed[at]gmail[dot]com, ,Dubai,iph0ne,mobile,three,3000,5000,EUR,,invalid,pending,,Order#None | Customer: Ashley Deleon | Product: iph0ne | Price: 3000
,,,gardnerevan@yahoo.com,EG,cairo,,,2,2500,wrong,جنيه,pay on delevery,,lost,تحقق,Order#None | Customer:  | Product: None | Price: 2500
,2023-09-16,Ahmed محمد,invalid_email,KSA, ,iPhone,accessory,three,1500,,جنيه,pay on delevery,29/11/2023,delivered,,Order#None | Customer: Ahmed محمد | Product: iPhone | Price: 1500
9843.0,,أحمـــد    محمد,, ,alex,iph0ne,iph0ne,three,1500,10000,USD 300,cash,2035-01-01,lost,تحقق,Order#9843 | Customer: أحمـــد    محمد | Product: iph0ne | Price: 1500
,2035-01-01,احمد محمد,#######@hotmail.com,egypt,Alex,Laptop,Mobile,1,3000,wrong,usd,Credit Card,2035-01-01,Delivered,,Order#None | Customer: احمد محمد | Product: Laptop | Price: 3000
,10-04-2023,Ahmed محمد,ethornton@...,ksa, ,Lap-top,Accessories,Two,USD 100,wrong,EGP,paypal,,,XX,Order#None | Customer: Ahmed محمد | Product: Lap-top | Price: USD 100
,2025-01-19,احمد محمد,lrodriguez@mitchell.com,مصر,alex,I-phone,Mobile,Two,2500,,USD 300,paypal,,Delivered,,Order#None | Customer: احمد محمد | Product: I-phone | Price: 2500
9120.0,17/08/2023,احمد محمد,,ksa,Dubai,iPhone,,,3000,,,paypal,11-05-2024,,العميل طلب الغاء,Order#9120 | Customer: احمد محمد | Product: iPhone | Price: 3000
,2035-01-01,Grant Perkins,ahmed[at]gmail[dot]com,مصر,cairo,IPHONE,IPHONE,3,,5000,USD,,,lost,...,Order#None | Customer: Grant Perkins | Product: IPHONE | Price: None
,2035-01-01,Ahmed محمد,,Egypt,,Headphones,Mobile,3,,10000,جنيه,Credit Card,06/06/2024,pending,...,Order#None | Customer: Ahmed محمد | Product: Headphones | Price: 
,,,delgadonicholas@peterson.com,UAE,cairo,Lap-top,,2,USD 100,5000,USD 300,paypal,,delivered,,Order#None | Customer: None | Product: Lap-top | Price: USD 100
9754.0,22/11/2024,AHMED MOHAMED,invalid_email,EG,Dubai,Laptop,Laptop,Two,,5000,Ten Thousand Egyptian Pounds,Credit Card,,lost,,Order#9754 | Customer: AHMED MOHAMED | Product: Laptop | Price: 
7516.0,,Tonya Archer,,ksa, ,HEADPHONES,mobile,3,,,EUR,,2025-06-25,,العميل طلب الغاء,Order#7516 | Customer: Tonya Archer | Product: HEADPHONES | Price: None
,invalid,أحمـــد    محمد,ahmed[at]gmail[dot]com,egypt,alex,HEADPHONES,mobile,2,EGP,10000,,Credit Card,11/11/2024,Delivered,تحقق,Order#None | Customer: أحمـــد    محمد | Product: HEADPHONES | Price: EGP
4141.0,2023-09-06,Ahmed محمد,ahmed[at]gmail[dot]com,egypt,Cairo,Lap-top,Mobile,3,EGP,,,,2024-06-22,Delivered,العميل طلب الغاء,Order#4141 | Customer: Ahmed محمد | Product: Lap-top | Price: EGP
,invalid,AHMED MOHAMED,matthew46@...,,cairo,Lap-top,,2,2500,10000,جنيه,cash,invalid,Delivered,,Order#None | Customer: AHMED MOHAMED | Product: Lap-top | Price: 2500
,2023-08-27,أحمـــد    محمد,GREENCYNTHIA@JONES-MALDONADO.COM, ,alex,iph0ne,iph0ne,Two,EGP,5000,جنيه,,08/04/2024,delivered,XX,Order#None | Customer: أحمـــد    محمد | Product: iph0ne | Price: EGP
1794.0,invalid,Julia Weber,ahmed[at]gmail[dot]com,uae,alex,iPhone,accessory,3,2500,,USD 300,cash,invalid,lost,,Order#1794 | Customer: Julia Weber | Product: iPhone | Price: 2500
,invalid,أحمـــد    محمد,#######@hotmail.com, ,Alex,Lap-top,Accessories,,USD 100,5000,USD,cash,05/08/2023,Delivered,...,Order#None | Customer: أحمـــد    محمد | Product: Lap-top | Price: USD 100
3257.0,2035-01-01,,invalid_email,,alex,iph0ne,Mobile,,2500 جنيه,,جنيه,Credit Card,25/11/2023,,,Order#3257 | Customer: None | Product: iph0ne | Price: 2500 جنيه
2535.0,,أحمـــد    محمد,,EGY,,Laptop,Laptop,2,2500,10000,جنيه,paypal,14/03/2024,delivered,,Order#2535 | Customer: أحمـــد    محمد | Product: Laptop | Price: 2500
6998.0,2023-07-26,Kevin Hart,kathrynmitchell@...,EG,,Laptop,Laptop,three,EGP,,USD 300,pay on delevery,invalid,,urgent,Order#6998 | Customer: Kevin Hart | Product: Laptop | Price: EGP
